Unique_Op_ID,Index,Bid_Status,Last_Update,Update_Comment,Bid_Type,Client,Project,Region,Country,Water_Depth_Min,Water_Depth_Max,Survey_Type,Date_Received,Date_Submitted,Node_Type,Crew Node
202112_RFP_TGS_NOA_NOR_NOAR,48,Award,10-Oct-2024,Won,RFP,TGS,NOAKA 2022,North Sea,Norway,,,NOAR,1-Dec-2021,,,
202201_MC_TGS_A2_USA_ROV,,Award,10-Oct-2024,"Won, unconventional tender",MC,TGS,A2,GOM,USA,,,ROV,1-Jan-2022,n/a,,
202201_RFP_SHEL_GUM_MAL_ROV,46,Award,10-Oct-2024,Won,RFP,Shell,Gumusut Kakap,APAC,Malaysia,900,1200,ROV,28-Jan-2022,7-Mar-2022,MASS,500
202202_RFP_PETR_IAR_BRA_ROV,44,Lost,10-Oct-2024,Lost to Shearwater,RFP,Petrobras,Iara Baseline,SAM,Brazil,,,ROV,24-Feb-2022,6-Apr-2022,ZXPLR,3500
202203_RFP_PETR_ARA_BRA_ROV,45,Lost,10-Oct-2024,Lost to PXGEO,RFP,Petrobras,Aram,SAM,Brazil,,,ROV,1-Mar-2022,,,
202204_RFP_SHEL_NAM__NOAR,42,Lost,10-Oct-2024,Lost to Shearwater,RFP,Shell,NAM,North Sea,,,,NOAR,1-Apr-2022,,,
202204_RFP_ONGC_MUM_IND_NOAR,43,Lost,10-Oct-2024,Lost to SAE,RFP,ONGC,Mumbai High,APAC,India,,,NOAR,1-Apr-2022,,,
202204_RFP_EXXO_GUY_GUY_ROV,41,Award,10-Oct-2024,Won,RFP,ExxonMobil,Guyana,SAM,Guyana,,,ROV,1-Apr-2022,26-Apr-2022,,
202205_RFP_OCCI_K2_USA_ROV,39,No Sale,,No sale,RFP,Occidental,K2,GOM,USA,,,ROV,1-May-2022,,,
202206_RFP_ONGC_KG _IND_ROV,40,No Sale,,No sale,RFP,ONGC,"KG Cluster 2, 3",APAC,India,,,ROV,1-Jun-2022,,,
202207_RFP_SLB_E4_USA_ROV,,Lost,10-Oct-2024,Lost to Shearwater,RFP,SLB,E4,GOM,USA,,,ROV,1-Jul-2022,,,
202207_RFP_SLB_E3_USA_ROV,,Lost,10-Oct-2024,Lost to Shearwater,RFP,SLB,E3,GOM,USA,,,ROV,1-Jul-2022,,,
202207_RFP_NOC_AL __NOAR,38,,,,RFP,NOC,Al Shaheen,Middle East,,,,NOAR,1-Jul-2022,,,
202207_DIR_AKER_VAL_NOR_NOAR,49,Award,10-Oct-2024,Direct Award,DIR,AkerBP,"Valhall, Ivar Aasen",North Sea,Norway,100,120,NOAR,1-Jul-2022,n/a,,
202208_DIR_SHEL_MOM_USA_ROV,,Award,10-Oct-2024,"Won, unconventional tender (prev Sparta)",DIR,Shell,Momentum,GOM,USA,,,ROV,1-Aug-2022,n/a,,
202208_RFP_PETR_SEP_BRA_ROV,37,Lost,3-Mar-2025,Lost to PXGEO,RFP,Petrobras,Sepia Baseline,SAM,Brazil,,,ROV,12-Aug-2022,20-Sep-2022,MASS,2750
202208_RFP_TOTA_EGI_NIG_ROV,36,No Sale,,No sale,RFP,Total,"Egina, Preowei",WAF,Nigeria,1050,1750,ROV,31-Aug-2022,,"MASS, ZXPLR",
202208_RFP_TOTA_EGI_NIG_ROV,,Award,10-Oct-2024,Won,RFP,Total,"Egina, Preowei",WAF,Nigeria,1050,1750,ROV,31-Aug-2022,11-Oct-2022,,
202210_RFP_SAUD_S89_SAU_NOAR,33,Lost,,Lost to BGP,RFP,Saudi Aramco,S89,Middle East,Saudi Arabia,,,NOAR,1-Oct-2022,,,
202210_RFP_CHEV_JAC_USA_ROV,32,Award,2-Oct-2024,Won,RFP,Chevron,Jack,GOM,USA,2000,2500,ROV,13-Oct-2022,27-Nov-2022,ZXPLR,2750
202211_RFP_EQUI_GUL_NOR_NOAR,35,Lost,,Lost to Shearwater,RFP,Equinor,"Gulfaks, Martin Linge",North Sea,Norway,,,NOAR,1-Nov-2022,,,
